 symbol | composite | quality | growth | momentum | value | stability | positioning |  updated   
--------+-----------+---------+--------+----------+-------+-----------+-------------+------------
 CCXI   |     75.17 |         |        |          | 99.84 |           |       50.49 | 2026-03-01
 APXT   |     63.29 |         |        |    50.06 | 98.51 |     54.10 |       50.49 | 2026-03-01
 GRAF   |     60.75 |   49.85 |  99.87 |    49.72 |       |     53.84 |       50.49 | 2026-03-01
 BEBE   |     59.48 |         |        |          | 68.46 |           |       50.49 | 2026-03-01
 RGC    |     59.18 |         |  50.19 |    95.96 |       |     40.07 |       50.49 | 2026-03-01
 SLNH   |     58.26 |   99.87 |  50.28 |    46.51 |       |     44.15 |       50.49 | 2026-03-01
 QMMM   |     58.14 |         |  49.74 |    99.87 |       |     32.46 |       50.49 | 2026-03-01
 TCGL   |     58.04 |         |  41.36 |    99.87 |       |     40.42 |       50.49 | 2026-03-01
 HURA   |     57.95 |         |        |    73.08 |       |     42.82 |             | 2026-03-01
 FBGL   |     57.72 |         |        |    62.61 |       |     52.83 |             | 2026-03-01
 PKOH   |     56.96 |   50.70 |  79.26 |    52.05 |       |     52.29 |       50.49 | 2026-03-01
 LNKS   |     56.93 |         |        |    64.88 |       |     48.98 |             | 2026-03-01
 GCMG   |     56.81 |   50.84 |  79.44 |    49.77 |       |     53.53 |       50.49 | 2026-03-01
 CEPS   |     56.78 |         |  50.03 |          | 69.83 |           |       50.49 | 2026-03-01
 CEPV   |     56.73 |   49.78 |  49.79 |    49.84 | 86.58 |     53.91 |       50.49 | 2026-03-01
 HBNB   |     56.67 |         |  81.61 |    53.50 |       |     41.09 |       50.49 | 2026-03-01
 NCI    |     56.51 |         |  50.07 |    80.80 |       |     44.68 |       50.49 | 2026-03-01
 HYMC   |     56.27 |   49.75 |  49.73 |    83.05 |       |     48.34 |       50.49 | 2026-03-01
 SAVA   |     55.92 |   82.40 |  49.98 |    49.84 |       |     46.91 |       50.49 | 2026-03-01
 ERAS   |     55.62 |   49.39 |  49.83 |    78.58 |       |     49.82 |       50.49 | 2026-03-01
 MVST   |     55.52 |   81.77 |  50.07 |    46.83 |       |     48.44 |       50.49 | 2026-03-01
 AXTI   |     55.48 |   48.97 |  47.43 |    87.02 | 49.94 |     49.03 |       50.49 | 2026-03-01
 ACFN   |     55.47 |   51.45 |  82.03 |    51.98 | 49.92 |     46.95 |       50.49 | 2026-03-01
 HUT    |     55.30 |   48.35 |  72.74 |    54.20 |       |     50.70 |       50.49 | 2026-03-01
 BNAI   |     55.28 |   50.48 |  49.02 |    91.05 | 48.65 |     41.97 |       50.49 | 2026-03-01
 BDCI   |     54.99 |   49.72 |        |    49.93 | 70.75 |     54.07 |       50.49 | 2026-03-01
 AVR    |     54.85 |   45.75 |  49.17 |    53.27 | 82.76 |     47.64 |       50.49 | 2026-03-01
 SNSE   |     54.60 |   49.75 |  50.00 |    76.65 |       |     46.11 |       50.49 | 2026-03-01
 SNDK   |     54.50 |   48.17 |  50.20 |    75.97 |       |     47.68 |       50.49 | 2026-03-01
 SPRY   |     54.40 |   49.75 |  73.99 |    48.28 |       |     49.50 |       50.49 | 2026-03-01
 ECO    |     54.38 |   52.44 |  56.97 |    57.82 |       |     54.20 |       50.49 | 2026-03-01
 CTOS   |     54.38 |   70.15 |  51.73 |    52.04 | 49.98 |     51.86 |       50.49 | 2026-03-01
 LITE   |     54.34 |   49.01 |  49.93 |    71.17 |       |     51.10 |       50.49 | 2026-03-01
 IBRX   |     54.21 |   49.98 |  50.35 |    71.57 |       |     48.64 |       50.49 | 2026-03-01
 NWE    |     54.13 |   64.51 |  49.98 |    50.98 |       |     54.69 |       50.49 | 2026-03-01
 DXC    |     54.13 |   51.89 |  68.16 |    47.63 |       |     52.48 |       50.49 | 2026-03-01
 AG     |     54.05 |   50.69 |  56.26 |    64.55 | 49.93 |     52.36 |       50.49 | 2026-03-01
 VS     |     54.00 |   77.95 |  49.83 |    44.21 |       |     47.54 |       50.49 | 2026-03-01
 FSLY   |     53.84 |   52.01 |        |    63.14 |       |     49.72 |       50.49 | 2026-03-01
 SLGL   |     53.70 |   49.78 |  49.70 |    71.33 |       |     47.18 |       50.49 | 2026-03-01
 ASM    |     53.66 |   49.81 |  60.41 |    59.92 | 49.90 |     51.44 |       50.49 | 2026-03-01
 TRX    |     53.62 |         |  50.46 |    64.49 |       |     49.04 |       50.49 | 2026-03-01
 KORE   |     53.57 |   49.77 |  50.20 |    66.73 |       |     50.65 |       50.49 | 2026-03-01
 QXO    |     53.47 |   49.74 |  63.91 |    51.64 |       |     51.56 |       50.49 | 2026-03-01
 BBDO   |     53.44 |   50.72 |  64.16 |    52.45 | 50.44 |     52.40 |       50.49 | 2026-03-01
 BATL   |     53.39 |   48.90 |  49.96 |    75.22 | 50.06 |     45.73 |       50.49 | 2026-03-01
 MCRP   |     53.39 |         |  50.03 |    68.59 |       |     44.44 |       50.49 | 2026-03-01
 IPSC   |     53.38 |   49.84 |  50.03 |    67.57 |       |     48.95 |       50.49 | 2026-03-01
 FAF    |     53.38 |   51.88 |  59.95 |    51.14 |       |     53.43 |       50.49 | 2026-03-01
 PPL    |     53.28 |   59.69 |  50.67 |    51.02 |       |     54.53 |       50.49 | 2026-03-01
 TII    |     53.26 |   49.79 |  50.54 |    66.40 |       |     49.10 |       50.49 | 2026-03-01
 OPLN   |     53.25 |   50.85 |  61.30 |    49.84 |       |     53.78 |       50.49 | 2026-03-01
 TERN   |     53.21 |   49.75 |  49.85 |    66.70 |       |     49.24 |       50.49 | 2026-03-01
 BOKF   |     53.20 |   50.83 |  64.16 |    50.28 | 50.04 |     53.40 |       50.49 | 2026-03-01
 ANL    |     53.19 |         |  49.87 |    69.48 | 49.28 |     46.85 |       50.49 | 2026-03-01
 NAT    |     53.17 |   53.49 |  50.07 |    57.30 |       |     54.50 |       50.49 | 2026-03-01
 GRAB   |     53.17 |   50.70 |  64.16 |    48.16 |       |     52.36 |       50.49 | 2026-03-01
 FORM   |     53.16 |   50.82 |        |    60.12 |       |     51.19 |       50.49 | 2026-03-01
 SIF    |     53.16 |   48.19 |  49.96 |    66.61 |       |     50.54 |       50.49 | 2026-03-01
 PZG    |     53.15 |   49.75 |  50.03 |    64.69 |       |     50.78 |       50.49 | 2026-03-01
 CDIO   |     53.15 |   50.45 |  50.56 |    73.74 | 49.85 |     43.78 |       50.49 | 2026-03-01
 IAG    |     53.11 |   50.73 |  52.47 |    59.45 |       |     52.40 |       50.49 | 2026-03-01
 GLW    |     53.07 |   51.88 |  50.39 |    59.35 |       |     53.22 |       50.49 | 2026-03-01
 OPTX   |     53.05 |   49.76 |  50.88 |    66.66 |       |     47.45 |       50.49 | 2026-03-01
 AP     |     53.04 |   52.02 |  50.20 |    66.51 | 49.97 |     49.05 |       50.49 | 2026-03-01
 USAS   |     53.03 |   49.78 |  49.93 |    65.12 |       |     49.84 |       50.49 | 2026-03-01
 CLYM   |     53.03 |   48.89 |  50.16 |    68.79 | 49.85 |     50.02 |       50.49 | 2026-03-01
 THM    |     52.95 |         |  49.94 |    62.57 |       |     48.78 |       50.49 | 2026-03-01
 ESLT   |     52.92 |   51.87 |  53.70 |    54.69 |       |     53.84 |       50.49 | 2026-03-01
 NESR   |     52.91 |   51.66 |        |    59.08 |       |     50.39 |       50.49 | 2026-03-01
 NEWP   |     52.88 |   49.81 |  49.98 |    63.86 |       |     50.25 |       50.49 | 2026-03-01
 SII    |     52.88 |   50.83 |  50.07 |    59.39 |       |     53.62 |       50.49 | 2026-03-01
 WDC    |     52.87 |   50.69 |  51.66 |    60.05 |       |     51.46 |       50.49 | 2026-03-01
 IRD    |     52.87 |   49.91 |  49.91 |    64.35 |       |     49.67 |       50.49 | 2026-03-01
 KBON   |     52.77 |         |        |    50.09 |       |     57.74 |       50.49 | 2026-03-01
 VTYX   |     52.72 |   49.75 |  50.10 |    64.89 |       |     48.36 |       50.49 | 2026-03-01
 DHT    |     52.70 |   50.84 |  51.29 |    56.64 |       |     54.24 |       50.49 | 2026-03-01
 AEM    |     52.69 |   54.66 |  51.35 |    56.08 | 49.94 |     53.61 |       50.49 | 2026-03-01
 SLS    |     52.65 |   49.75 |  49.86 |    63.56 |       |     49.59 |       50.49 | 2026-03-01
 SWAG   |     52.65 |   67.43 |  47.39 |    49.45 |       |     48.50 |       50.49 | 2026-03-01
 SVM    |     52.65 |   49.75 |  50.13 |    60.20 |       |     52.66 |       50.49 | 2026-03-01
 PVLA   |     52.63 |   49.72 |  49.86 |    63.29 |       |     49.78 |       50.49 | 2026-03-01
 HAFN   |     52.62 |   50.73 |  50.89 |    55.63 |       |     55.37 |       50.49 | 2026-03-01
 SBXE   |     52.59 |         |        |    50.16 |       |     57.13 |       50.49 | 2026-03-01
 EIX    |     52.58 |   51.89 |  50.44 |    54.49 |       |     55.60 |       50.49 | 2026-03-01
 SCZM   |     52.56 |   49.91 |  52.15 |    61.58 |       |     48.69 |       50.49 | 2026-03-01
 AGI    |     52.56 |   54.26 |  51.15 |    56.75 | 49.94 |     52.76 |       50.49 | 2026-03-01
 VICR   |     52.55 |   50.70 |  49.77 |    62.49 |       |     49.28 |       50.49 | 2026-03-01
 EFXT   |     52.51 |   50.69 |  51.17 |    57.06 |       |     53.13 |       50.49 | 2026-03-01
 LPCN   |     52.51 |   49.78 |  50.20 |    61.75 |       |     50.31 |       50.49 | 2026-03-01
 HII    |     52.50 |   50.70 |  53.07 |    54.16 |       |     54.08 |       50.49 | 2026-03-01
 KGC    |     52.48 |   50.69 |  52.89 |    55.17 |       |     53.17 |       50.49 | 2026-03-01
