symbol,composite_score,quality_score,growth_score,value_score,momentum_score,positioning_score,stability_score,score_date
HVMC,60.24047157291381,44.98696379539213,,88.73505254822591,49.570376821131106,,57.66949312690609,2026-02-08
GIW,59.982312598206995,,,72.54150667399364,49.584325611003585,,57.82110550962377,2026-02-08
GRAF,59.974453038438334,49.53559181341893,99.81315638656214,50.57895339156418,49.324333458901236,53.42099804696794,57.17368513321557,2026-02-08
PLTS,59.30166072903078,,50.35071634443924,90.97024426368844,49.46110637308425,,46.424575934911196,2026-02-08
HBNB,58.00772157907371,46.786073348009616,81.77028996825433,,65.33379862499591,57.30610746499445,38.84233848911426,2026-02-08
CEPV,57.725640456280274,49.11790473772024,49.797686826974086,99.86501019683699,49.26992068303295,41.003787413259616,57.29953287985777,2026-02-08
MDXH,57.46923395628182,49.17713645630626,49.99511693569059,50.16207351084696,49.83590240444105,48.187243272126295,97.45793115827976,2026-02-08
HYMC,57.42776832091325,49.18201078090222,49.8015874950919,51.08992153500688,95.37382117063234,49.513173473302786,49.6060954705434,2026-02-08
APXT,57.26945158582953,48.62109275543338,,88.45484567924612,49.72183481884227,41.67127840063502,57.87820627499084,2026-02-08
CCCX,57.20207207398989,49.12051876001049,,99.41042748601862,44.45634943000078,49.38743438846319,43.63563030545637,2026-02-08
BDCI,57.13139562061011,48.90254845864128,,89.033091719218,49.361628099977175,40.663433119297586,57.69627670591648,2026-02-08
GGG,56.759866460280385,52.6135617891214,50.416869313101785,50.604129558288605,49.88067128659638,81.25846914396001,55.78549767061411,2026-02-08
DGP,56.70875147131239,,,,61.396725929541226,,52.02077701308356,2026-02-08
BNAI,56.668275053260714,47.984852952140066,49.221338936406184,50.32885987340509,99.86072294466807,46.940185835497324,45.673689777447535,2026-02-08
MOB,56.64198849159377,47.03657983781844,48.2755650602558,99.37776193132972,56.72376465827318,39.58264409243847,48.85561536944704,2026-02-08
IMSR,56.387118883604316,51.762591179449494,50.166925140448434,99.65312717748141,47.204255749030445,47.26247001823247,42.27334403698366,2026-02-08
NAMM,56.1273961498334,52.96414183954382,50.247383252280656,49.98729963817236,82.54860354989535,57.46779229106531,43.549156328042905,2026-02-08
MSGS,56.00205108394288,48.48466163515817,49.733042128670554,76.63258978688498,53.45061724113318,52.71807567338561,54.99332003842481,2026-02-08
RGC,55.525973901564214,47.17381938936883,48.89941704581905,40.57234353193475,99.62228696194494,54.07731150534385,42.81066497497387,2026-02-08
IAG,55.47149277288665,51.67054871432354,52.80943389154466,50.013928945182805,63.514793529701386,63.19132089120008,51.6289306653674,2026-02-08
KG,55.37447851598966,49.95854502008828,50.5858939436027,50.41276330451162,43.05345332345929,92.3076777387495,45.92853776552657,2026-02-08
LSE,55.31995270886143,49.844877401291654,52.10269517516844,50.2246891144482,47.17392777620019,87.3712077481141,45.20231903794601,2026-02-08
SNDK,55.31066023572665,48.62690537438002,50.48052088643797,49.8780953262172,86.9587707180591,52.25510316762647,43.66456594163913,2026-02-08
GCMG,55.16326390530242,50.84850022500257,71.66563276445258,50.688281263459245,48.64285938231498,54.17274443116335,54.961565365421826,2026-02-08
TII,55.1194767620949,50.95686758701534,53.112200174541734,50.092475646621416,77.35766962250376,49.68934750714568,49.50830003474145,2026-02-08
SVA,54.87146881421673,,50.47992709642725,50.80921213067454,47.71400505845349,,70.48273097131165,2026-02-08
WDC,54.826762125585574,51.69897462256038,54.51712815570562,49.92496758526585,68.7204776118998,53.97248869012509,50.12653608795671,2026-02-08
ASM,54.80884080257633,51.90753673578426,59.68511640648991,50.07470531304274,72.5791969802564,45.28882202173278,49.31766735815189,2026-02-08
ERAS,54.516921953282704,48.50778179189486,49.120563386085955,50.145858747212124,78.47903682623868,51.53747235611183,49.310818612152794,2026-02-08
FIEE,54.456564988550575,47.33150713421779,47.26820456912426,49.99191528847754,86.52070358784623,50.87502446027427,44.75203489136338,2026-02-08
MU,54.42486061654538,52.45713044268035,53.5459695121328,50.648407203404744,68.37604178171121,51.0918199528697,50.4297948064735,2026-02-08
PKOH,54.226385255880636,49.996727219608744,70.89283478385305,50.205459282303366,49.768133391520344,52.581417232934,51.913739625064295,2026-02-08
QMMM,54.145204741049305,47.68018168100168,46.619247768503996,47.47638894226545,99.86501019683699,40.94360978642379,42.286790071263916,2026-02-08
ACFN,54.014903405701105,51.43131018672014,83.9189580646022,50.27692421232285,46.67634300313669,46.80908464780367,44.97680031962106,2026-02-08
MRCY,53.982531835453045,59.38922049437249,51.52827249367697,49.736181617650956,56.083100950384,54.60008721034539,52.55832824628845,2026-02-08
HL,53.890196594283424,52.59423808486681,51.40025470791989,50.31976173759046,67.5862008964945,51.54137363963562,49.89935049919325,2026-02-08
STX,53.79801640274765,51.36331384235041,50.33660869341232,52.99968048052167,65.01449257598351,52.51095697326499,50.56304585095298,2026-02-08
ASA,53.75321826131242,54.90880267909672,54.235204953540816,51.152396068012585,60.295806795875166,49.37197525582185,52.55512381552736,2026-02-08
DJP,53.709863370208566,,,,51.97052076611184,,55.44920597430529,2026-02-08
ANL,53.60397830355301,48.65391633371167,49.87827281718362,50.02440597077875,83.74064238100007,41.88788736354523,47.438744955098755,2026-02-08
HUT,53.56578193781241,52.84520289254827,58.69533568303689,50.85432185781673,60.58887863461613,51.54158002149273,46.869372537363716,2026-02-08
